Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2020-01-02,72.33385467529297,72.39406264366768,71.09116132608638,71.34403185341793,135480400
1,2020-01-03,71.63065338134766,72.38927264137095,71.40668140593664,71.56322072155912,146322800
2,2020-01-06,72.201416015625,72.23995000976231,70.50355369984423,70.75402098693286,118387200
3,2020-01-07,71.86185455322266,72.46633779595872,71.6426965801033,72.21105649751387,108872000
4,2020-01-08,73.0178451538086,73.31888511458335,71.56562867701548,71.56562867701548,132079200
5,2020-01-09,74.56880950927734,74.76147215954668,73.74275755557424,73.9932175310026,170108400
6,2020-01-10,74.73736572265625,75.30091887725054,74.23643856809193,74.80239504412852,140644800
7,2020-01-13,76.33409881591797,76.36059415429726,74.93486566437117,75.05287832688332,121532000
8,2020-01-14,75.30333709716797,76.48100893453174,75.18051779267843,76.27148630079421,161954400
9,2020-01-15,74.98063659667969,75.98249863335472,74.54954524384856,75.10346327281154,121923600
10,2020-01-16,75.91983795166016,76.0306259059178,75.16121901504614,75.52246682768192,108829200
11,2020-01-17,76.7603759765625,76.76277929851412,75.86207008807327,76.16792404225187,137816400
12,2020-01-21,76.24019622802734,76.8302302819094,76.10292020931296,76.3895109081966,110843200
13,2020-01-22,76.51231384277344,77.06381371935198,76.41838585398544,76.72423978617735,101832400
14,2020-01-23,76.88079071044922,76.96026202494508,76.01860816134078,76.56530142477,104472000
15,2020-01-24,76.65921783447266,77.86819158420508,76.46895853504518,77.1264324079885,146537600
16,2020-01-27,74.405029296875,75.08416976822737,73.42484155700832,74.67234921705278,161940000
17,2020-01-28,76.50990295410156,76.68089158109271,75.18532722614749,75.28406920782065,162234000
18,2020-01-29,78.11143493652344,78.95675744540253,77.39857441186852,78.13793027321145,216229200
19,2020-01-30,77.99825286865234,78.05123619869995,76.7651942962083,77.19628560206807,126743200
20,2020-01-31,74.53990173339844,77.71165450707113,74.24608645041388,77.29019858022654,199588400
21,2020-02-03,74.33517456054688,75.498389394716,72.78421654858387,73.28514366287956,173788400
22,2020-02-04,76.78926849365234,76.97952779146334,75.53212542449515,75.93672133535755,136616400
23,2020-02-05,77.41543579101562,78.21258898353346,76.81335589638837,77.91395235806485,118826800
24,2020-02-06,78.3209457397461,78.32335641079244,77.12883215929374,77.68515330009288,105425600
25,2020-02-07,77.2563705444336,78.06989925267796,76.76632167871378,77.82125391424971,117684000
26,2020-02-10,77.62327575683594,77.62327575683594,75.76447362748293,75.84413352382079,109348800
27,2020-02-11,77.15496063232422,78.19058359645562,76.93769897957516,78.11816550122239,94323200
28,2020-02-12,78.98723602294922,78.99206144129231,77.60399117788235,77.60399117788235,113730400
29,2020-02-13,78.42475891113281,78.7506551305069,78.05782821966719,78.26060628866534,94747600
30,2020-02-14,78.44406127929688,78.69270656111114,77.93711251400148,78.3933612458328,80113600
31,2020-02-18,77.00772094726562,77.18877358272158,75.94795598487916,76.12900862033511,152531200
32,2020-02-19,78.12300109863281,78.35233737517142,77.24912158938099,77.24912158938099,93984000
33,2020-02-20,77.321533203125,78.3716398349872,76.81700080414447,77.88400744802773,100566000
34,2020-02-21,75.57135772705078,77.35774940247184,74.95578178960817,76.91597690115918,129554000
35,2020-02-24,71.98169708251953,73.43011814732492,69.8211400810818,71.75960997813098,222195200
36,2020-02-25,69.54351806640625,73.03180163978591,69.07278565467855,72.65038734565039,230673600
37,2020-02-26,70.64673614501953,71.90927916190874,69.16210602316792,69.16934783382864,198054800
38,2020-02-27,66.02867889404297,69.04139705399142,65.8934935311334,67.85852144500781,320605600
39,2020-02-28,65.99006652832031,67.20915879544067,61.88862284247871,62.10347552395671,426510000
40,2020-03-02,72.1337661743164,72.76865844299596,67.04256816593558,68.14336733709636,341397200
41,2020-03-03,69.8428726196289,73.38667475068135,68.99312746023453,73.30701482551375,319475600
42,2020-03-04,73.08248901367188,73.24181619852034,70.76260504877715,71.56164999828624,219178400
43,2020-03-05,70.71192169189453,72.31242082695749,70.34740002247567,71.33956494467967,187572800
44,2020-03-06,69.77285766601562,70.2049720207652,67.88991319528947,68.07579124975517,226176800
45,2020-03-09,64.25437927246094,67.1319051551366,63.48912685930832,63.670179502443226,286744800
46,2020-03-10,68.88208770751953,69.14763308452109,65.0268727397902,66.90258302825225,285290000
47,2020-03-11,66.4897689819336,67.88749740945617,65.62795665733853,66.96292517997638,255598800
48,2020-03-12,59.92359161376953,65.17894700154001,59.86806983845157,61.784814276675704,418474000
49,2020-03-13,67.10291290283203,67.57365254636639,61.062997947439406,63.94535922482895,370732000
50,2020-03-16,58.47035598754883,62.542829050103194,57.93685251654096,58.40758870653268,322423600
51,2020-03-17,61.041290283203125,62.1879532458274,57.55059398806874,59.74978006097213,324056000
52,2020-03-18,59.547000885009766,60.35087498179023,57.24159672400037,57.881318208922394,300233600
53,2020-03-19,59.09074783325195,61.036459434063396,58.566902685612334,59.72081110917334,271857200
